School_ID,Name,lon,lat
12G06,Hausotter-Grundschule,13.3749715,52.5696247
12G07,Mark-Twain-Grundschule,13.3263999,52.56864
12G09,Grundschule an der Peckwisch,13.3486899,52.59299
12G10,Peter-Witte-Grundschule,13.33039,52.5863
12G11,Ringelnatz-Grundschule,13.3378679,52.5862188
12G12,Borsigwalder-Grundschule,13.30561,52.58822
12G13,Franz-Marc-Grundschule,13.2827965,52.5882274
12G14,Alfred-Brehm-Grundschule,13.28368,52.57359
12G15,Hoffmann-von-Fallersleben-Grundschule,13.29515,52.58744
12G17,Ellef-Ringnes-Grundschule,13.2417857,52.6106246
12G18,Grundschule am Tegelschen Ort,13.2280067,52.5761808
12G19,Münchhausen-Grundschule,13.31718,52.60851
12G20,Grundschule am Vierrutenberg,13.3389148,52.6182098
12G21,Grundschule am Fließtal,13.32062,52.61528
12G22,Gustav-Dreyer-Grundschule,13.3037899,52.61309
12G23,Victor-Gollancz-Grundschule,13.28757,52.63826
12G24,Renée-Sintenis-Grundschule,13.27237,52.63695
12G26,Märkische-Grundschule,13.3604362,52.5950094
12G27,Chamisso-Grundschule,13.3580546,52.6017386
12G28,Grundschule in den Rollbergen,13.335731,52.609905
12G29,Hermann-Schulz-Grundschule,13.32554,52.57359
12G30,Reineke-Fuchs-Grundschule,13.3101218,52.5742034
12G32,Charlie-Chaplin-Grundschule,13.3644276,52.5972944
12G33,Lauterbach-Grundschule,13.3595143,52.6038823
12G34,Otfried-Preußler-Grundschule,13.228818,52.6126451
01K10,Theodor-Heuss-Schule,13.3534733,52.5353649
02G36,Blumen-Grundschule,13.431537,52.516247
03G48,48. Grundschule,13.3726718,52.5382556
04G10,Helmuth-James-v-Moltke-Grundschule,13.30104,52.53903
05G30,Birken-Grundschule,13.1973753,52.5485882
06G32,Grundschule am Stadtpark Steglitz,13.342787,52.449522
06G33,Friedrich-Drake-GS,13.3077876,52.4324792
06G34,34. Grundschule,13.46783,52.51279
06K11,Anna-Essinger-Gemeinschaftsschule,13.3101391,52.4386645
08K13,Gemeinschaftsschule Campus Efeuweg,13.4727114,52.4265822
09G03,Schule am Heidekampgraben,13.47837,52.46872
09G30,Kiefholz-Grundschule,13.4560378,52.4862455
09G31,31. Grundschule,13.5323684,52.4593778
10G21,W.-Amadeus-Mozart-Grundschule,13.5965726,52.5368061
10G34,Schule am grünen Stadtrand,13.561932,52.5697247
10K11,Marcana-Schule (Gemeinschaftsschule),13.5650075,52.5637719
11G31,31. Schule,13.2633758,52.5095204
11G32,Hans-Rosenthal-Grundschule,13.4810636,52.5317647
11G33,33. Grundschule,13.3079509,52.4325361
11G34,34. Grundschule (Neugründung 2019),13.404954,52.5200066
11G35,35. Grundschule (Neugründung 2019),13.404954,52.5200066
11K12,Paul-und-Charlotte-Kniese-Schule (GemS),13.505497,52.494234
12K12,Campus Hannah-Höch,13.3446826,52.6010055
