School_ID;Name;HIN_Wechselwunsch_Total_19_20;HIN_Wechselwunsch_In_Bezirk_19_20;HIN_Wechselwunsch_Aus_a_Bezirk_19_20;AUS_Wechselwunsch_Total_19_20;AUS_Wechselwunsch_In_Bezirk_19_20;AUS_Wechselwunsch_Aus_a_Bezirk_19_20;HIN_Wechselwunsch_Total_20_21;HIN_Wechselwunsch_In_Bezirk_20_21;HIN_Wechselwunsch_Aus_a_Bezirk_20_21;HIN_Wechselwunsch_Aufnahme_20_21;HIN_Wechselwunsch_Ablehung_20_21;AUS_Wechselwunsch_Total_20_21;AUS_Wechselwunsch_In_Bezirk_20_21;AUS_Wechselwunsch_Aus_a_Bezirk_20_21;AUS_Wechselwunsch_Aufnahme_20_21;AUS_Wechselwunsch_Ablehung_20_21
03G46;Grundschule im Eliashof;46;45;1;20;11;9;45;44;1;;;12;7;5;;
03G47;Grundschule an der Strauchwiese;28;25;3;11;6;5;13;12;1;;;11;11;;;
03G48;48. Grundschule;;;3;;;;15;8;7;;;41;16;25;;
03K11;Wilhelm-von-Humboldt-Gemeinschaftsschule;;;;;;;121;108;13;;;17;15;2;;
03K07;Telsa-Gemeinschaftsschule;45;35;10;;;;26;16;10;;;25;20;5;;
04G01;Eichendorff-Grundschule;28;27;1;50;29;21;24;20;4;;24;52;40;12;25;27
04G02;Lietzensee-Grundschule;19;17;2;52;41;11;19;18;1;18;;52;47;5;28;24
04G04;Joan-Miró-Grundschule;6;4;2;52;33;19;10;8;2;10;;63;55;8;33;30
04G04;"Joan-Miró-Grundschule - Staatliche Europaschule Berlin (SESB)""";113;68;45;;;;104;54;50;72;32;;;;;
04G05;Dietrich-Bonhoeffer-Grundschule;22;14;18;49;29;20;17;5;12;5;7;42;39;3;28;14
04G06;Wald-Grundschule;91;83;8;19;10;9;85;74;11;20;65;18;17;1;16;2
04G07;Ludwig-Cauer-Grundschule;14;9;5;40;13;27;19;15;4;19;;49;32;17;35;14
04G08;Mierendorff-Grundschule;8;6;2;61;36;25;11;5;6;11;;64;46;18;30;34
04G09;Erwin-von-Witzleben-Grundschule;7;7;;10;3;7;22;13;9;18;4;19;11;8;8;11
04G11;Helmuth-James-von-Moltke-Grundschule;2;;2;32;19;13;4;;4;;4;34;25;9;21;13
04G12;Schinkel-Grundschule;30;26;4;118;78;40;36;33;3;;36;99;82;17;47;52
04G13;Nehring-Grundschule;18;18;;52;39;13;33;32;1;11;22;58;49;9;38;20
04G14;Reinhold-Otto-Grundschule;10;6;4;73;56;17;8;8;;8;;61;57;4;30;31
04G15;Charles-Dickens-Grundschule;7;5;2;14;10;4;15;5;10;;15;18;15;3;10;8
04G15;"Charles-Dickens-Grundschule - Staatliche Europaschule Berlin (SESB)""";89;48;41;;;;101;44;57;48;53;;;;;
04G17;Johann-Peter-Hebel-Grundschule;43;39;4;90;43;47;35;35;;;35;93;80;13;55;38
04G18;Ernst-Habermann-Grundschule;12;6;6;38;20;18;18;10;8;;18;37;22;15;22;15
04G19;Grundschule am Rüdesheimer Platz;30;26;4;39;13;26;42;30;12;42;;31;12;19;12;19
04G20;Katharina-Heinroth-Grundschule;5;2;3;158;112;46;2;1;1;1;1;185;155;30;87;98
04G20;Katharina-Heinroth-Grundschule - Staatliche Europaschule Berlin (SESB);29;16;13;;;;36;10;26;36;;;;;;
04G21;Halensee-Grundschule;12;12;;78;56;22;14;11;3;;14;106;91;15;56;50
04G22;Grunewald-Grundschule;28;27;1;33;17;16;55;40;15;17;38;26;11;15;15;11
04G23;Alt-Schmargendorf-Grundschule;20;19;1;54;40;14;15;13;2;15;;77;64;13;50;27
04G24;Carl-Orff-Grundschule;27;26;1;50;29;21;39;34;5;20;19;38;25;13;26;12
04G25;Cecilien-Grundschule;24;21;3;57;35;22;20;14;6;;20;46;31;15;20;26
04G26;Birger-Forell-Grundschule;14;12;2;30;19;11;10;10;;;10;39;31;8;15;24
04G27;Judith-Kerr-Grundschule - (SESB);79;39;40;;;;80;39;41;57;;;;;;
04S04;Reinfelder-Schule;55;46;9;;;;52;39;13;48;4;;;;;
04S07;Comenius-Schule;61;50;11;;;;84;72;12;60;24;;;;;
04K05;Paula-Fürst-Schule;56;55;1;;;;73;69;4;73;;;;;;
05G01;Ernst-Ludwig-Heim-Grundschule;2;2;;51;36;15;1;1;;1;;51;37;14;40;11
05G01;Ernst-Ludwig-Heim-G/Sprachheilkl.;9;9;;;;;20;20;;20;;;;;;
05G02;Grundschule am Eichenwald;29;26;3;15;15;;34;34;;25;9;18;17;1;15;3
05G04;Klosterfeld-Grundschule;8;8;;23;23;;11;11;;3;8;31;30;1;29;2
05G05;Christoph-Földerich-Grundschule;10;10;;78;69;9;17;17;;17;;67;59;8;46;21
05G06;Siegerland-Grundschule;6;6;;48;47;1;10;10;;10;;44;41;3;39;5
05G07;Lynar-Grundschule;5;5;;34;34;;4;4;;4;;53;49;4;45;8
05G08;Konkordia-Grundschule;50;49;1;19;15;4;47;47;;30;17;13;12;1;11;2
05G10;Grundschule am Birkenhain;17;17;;29;27;2;16;16;;16;;32;30;2;22;10
05G11;Robert-Reinick-Grundschule;3;1;2;27;5;22;15;4;11;;15;23;6;17;19;4
05G12;Grundschule am Weinmeisterhorn;39;39;;10;5;5;27;27;;27;;10;6;4;9;1
05G13;Bernd-Ryke-Grundschule;23;23;;20;15;5;22;22;;6;16;24;20;4;15;9
05G14;Linden-Grundschule;49;49;;20;18;2;38;37;1;21;17;16;14;2;11;5
05G15;Askanier-Grundschule;12;12;;30;28;2;14;14;;14;;32;28;4;24;8
05G16;Zeppelin-Grundschule;18;17;1;11;11;;15;14;1;11;4;14;12;2;11;3
05G17;Astrid-Lindgren-Grundschule;24;24;;44;42;2;12;12;;12;;58;54;4;40;18
05G18;Grundschule im Beerwinkel;8;8;;37;34;3;5;5;;2;3;37;34;3;29;8
05G19;Grundschule am Ritterfeld;23;16;7;24;22;2;23;21;2;23;;37;33;4;37;
05G20;Carl-Schurz-Grundschule;11;10;1;54;51;3;6;6;;6;;83;77;6;57;26
05G21;Paul-Moor-Grundschule;52;52;;;;;41;41;;29;12;16;15;1;14;2
05G22;Christian-Morgenstern-Grundschule;17;17;;58;57;1;12;12;;12;;76;66;10;50;26
05G23;Grundschule am Brandwerder;10;9;1;26;25;1;11;11;;9;2;20;18;2;14;6
05G24;Grundschule am Windmühlenberg;21;21;;5;4;1;28;26;2;28;;10;7;3;10;
05G25;Grundschule am Wasserwerk;14;14;;11;11;;4;4;;;4;15;15;;14;1
05G26;Grundschule am Amalienhof;15;15;;42;39;3;18;18;;10;8;37;35;2;33;4
05G27;Peter-Härtling-Grundschule;23;23;;26;22;4;30;30;;30;;18;13;5;17;1
05G28;Grundschule an der Pulvermühle;4;4;;17;14;3;15;15;;15;;17;13;4;14;3
05G29;Mary-Poppins-Grundschule;16;14;2;19;16;3;28;25;3;28;;17;12;5;14;3
05G30;Birken-Grundschule;19;19;;21;21;;14;14;;14;;27;26;1;21;6
05K05;B.-Traven-GemS;13;13;;;;;22;22;;22;;17;15;2;11;6
06G01;Nord-Grundschule;32;29;3;53;34;19;28;28;0;22;0;43;18;25;;
06G02;Süd-Grundschule;3;3;;118;96;22;12;12;0;11;0;79;51;28;;
06G03;Johannes-Tews-Grundschule;20;19;1;78;59;19;24;23;1;20;0;40;25;15;;
06G04;Erich Kästner Grundschule;59;45;14;31;19;12;37;28;9;9;27;30;13;17;;
06G05;Conrad-Grundschule;7;4;3;24;10;14;13;9;4;10;0;23;9;14;;
06G06;Mühlenau-Grundschule;61;55;6;34;16;18;54;50;4;42;0;51;35;16;;
06G07;Zinnowwald-Grundschule;3;2;1;76;70;6;10;8;2;8;0;90;55;35;;
06G08;Schweizerhof-Grundschule;36;34;2;66;41;25;28;23;5;11;12;44;18;26;;
06G09;Dreilinden-Grundschule;9;8;1;29;23;6;10;10;0;9;0;35;25;10;;
06G10;Grundschule am Buschgraben;34;34;;;;;16;16;0;13;0;49;39;10;;
06K11;Anna-Essinger-Gemeinschaftsschule;113;105;8;;;;93;85;8;46;37;20;14;6;;
06G12;Quentin-Blake-Grundschule dt // engl;108;64;44;;;;78;46;32;47;22;;;;;
06G12;Quentin-Blake-Grundschule Regel;11;10;1;17;15;2;12;10;2;11;0;17;12;5;;
06G14;Sachsenwald-Grundschule;8;3;5;35;8;27;17;15;2;10;7;14;3;11;;
06G15;Dunant-Grundschule;9;1;8;87;38;49;16;13;3;13;0;73;22;51;;
06G16;Rothenburg-Grundschule;27;23;4;17;13;4;28;25;3;7;20;35;25;10;;
06G17;Grundschule am Insulaner;28;21;7;27;17;10;17;13;4;11;5;26;14;12;;
06G18;Athene-Grundschule (Regelzug);5;5;;49;42;7;11;9;2;10;0;41;29;12;;
06G18;Athene-Grundschule - Staatliche Europaschule Berlin (SESB);30;18;12;;;;37;18;19;21;6;;;;;
06G20;Alt-Lankwitzer-Grundschule;45;39;6;30;11;19;32;28;4;27;0;32;12;20;;
06G21;Paul-Schneider-Grundschule;8;6;2;58;49;9;13;12;1;12;0;70;55;15;;
06G22;Giesensdorfer-Grundschule;8;8;;56;45;11;18;17;1;16;0;50;34;16;;
06G23;Kronach-Grundschule;18;18;;23;11;12;36;33;3;13;20;25;9;16;;
06G24;Grundschule unter den Kastanien;28;23;5;18;12;6;27;23;4;15;10;25;21;4;;
06G25;Clemens-Brentano-Grundschule;40;40;;9;4;5;62;59;3;60;0;23;13;10;;
06G26;Käthe-Kruse-Grundschule;18;17;1;25;16;9;15;13;2;13;0;25;17;8;;
06G27;Grundschule am Königsgraben;41;15;26;22;9;13;47;14;33;2;39;21;12;9;;
06G28;Ludwig-Bechstein-Grundschule;1;;1;39;30;9;5;4;1;3;0;36;22;14;;
06G29;Grundschule am Karpfenteich;57;18;39;10;7;3;55;24;31;30;21;11;9;2;;
06G30;Mercator-Grundschule;3;2;1;45;31;14;0;0;0;0;0;67;57;10;;
06G31;Grundschule an der Bäke;13;12;1;49;36;13;8;8;0;5;0;56;37;19;;
06G32;Grundschule am Stadtpark Steglitz;24;18;6;51;29;22;18;15;3;9;6;81;50;31;;
06G33;Friedrich-Drake-Gundschule;25;23;2;16;12;4;20;20;0;17;0;24;14;10;;
06G34;34. Grundschule;19;19;;29;16;13;41;38;3;19;20;20;8;12;;
07G01;Spreewald-Grundschule;13;10;3;100;84;16;7;4;3;6;1;90;58;32;58;32
07G02;Finow-Grundschule;11;2;9;30;15;15;10;2;8;1;9;22;9;13;15;7
07G02;Finow-Grundschule - Staatliche Europaschule Berlin (SESB);70;17;53;;;;68;26;42;61;7;;;;;
07G03;Werbellinsee-Grundschule;66;50;16;33;21;12;44;36;8;6;38;29;14;15;18;11
07G05;Havelland-Grundschule;41;38;3;23;13;10;39;35;4;31;8;18;6;12;16;2
07G06;Sternberg-Grundschule;11;10;1;40;25;15;10;9;1;6;4;37;20;17;28;9
07G07;Lindenhof-Grundschule;22;20;2;21;16;5;23;23;;16;7;21;9;12;16;5
07G10;Teltow-Grundschule;17;16;1;89;71;18;18;14;4;18;;65;48;17;53;12
07G12;Scharmützelsee-Grundschule;52;41;11;26;11;15;43;34;9;21;22;28;20;8;12;16
07G13;Neumark-Grundschule;18;17;1;80;56;24;12;9;3;12;;50;32;18;33;17
07G14;Löcknitz-Grundschule;49;31;18;20;7;13;43;30;13;3;40;13;8;5;11;2
07G15;Fläming-Grundschule;37;22;15;86;61;25;41;33;8;24;17;52;28;24;44;8
07G16;Ruppin-Grundschule;31;10;21;35;17;18;35;9;26;21;14;35;18;17;28;7
07G17;Stechlinsee-Grundschule;39;16;23;20;10;10;23;11;12;10;13;12;8;4;7;5
07G18;Grundschule am Barbarossaplatz;48;45;3;9;5;4;33;32;1;10;23;6;2;4;5;1
07G19;Paul-Simmel-Grundschule;6;3;3;90;64;26;10;8;2;10;;64;38;26;46;18
07G20;Maria-Montessori-Grundschule;51;49;2;18;9;9;53;52;1;17;36;18;8;10;16;2
07G21;Grundschule auf dem Tempelhofer Feld;24;21;3;19;4;15;40;34;6;9;31;20;6;14;14;6
07G22;Paul-Klee-Grundschule;31;30;1;70;57;13;26;24;2;14;22;48;40;8;30;18
07G23;Schätzelberg-Grundschule;25;23;2;32;26;6;12;11;1;2;10;30;21;9;24;6
07G24;Tempelherren-Grundschule;12;10;2;25;17;8;6;6;;6;;33;25;8;18;15
07G25;Mascha-Kaléko-Grundschule;32;30;2;18;13;5;15;15;;15;;31;25;6;22;9
07G26;Grundschule im Taunusviertel;35;26;9;35;32;3;20;19;1;5;15;29;21;8;28;1
07G27;Rudolf-Hildebrand-Grundschule;16;14;2;45;35;10;17;15;2;17;;31;21;10;23;8
07G28;Kiepert-Grundschule;34;31;3;31;13;18;11;9;2;9;2;26;10;16;22;4
07G29;Käthe-Kollwitz-Grundschule;24;24;;13;9;4;23;22;1;16;7;14;5;9;12;2
07G30;Annedore-Leber-Grundschule;41;36;5;17;13;4;35;31;4;26;9;18;12;6;15;3
07G31;Carl-Sonnenschein-Grundschule;47;20;27;24;15;9;30;8;22;19;11;18;9;9;13;5
07G32;Bruno-H.-Bürgel-Grundschule;39;37;2;25;12;13;24;22;2;9;15;25;9;16;16;9
07G34;Marienfelder-Grundschule;6;4;2;121;40;81;2;2;;2;;84;13;71;59;25
07G35;Nahariya-Grundschule;29;27;2;66;57;9;12;12;;12;;43;39;4;27;16
07G36;Grundschule am Dielingsgrund;20;15;5;42;31;11;23;8;15;23;;27;18;9;16;11
07G37;Ikarus-Grundschule;39;39;;12;3;9;22;18;4;11;11;18;6;12;16;2
07K12;Gemeinschaftsschule Schöneberg;80;74;6;;;;37;29;8;33;4;37;24;13;31;6
08G01;Rixdorfer-Schule;18;18;;67;48;19;15;15;;15;;66;12;;48;18
08G02;Theodor-Storm-Schule;13;9;4;86;34;52;14;12;2;14;;102;67;;53;49
08G03;Hans-Fallada-Schule;6;4;2;49;19;30;9;8;1;9;;69;44;;36;33
08G05;Elbe-Schule;15;14;1;70;40;30;15;14;1;15;;67;30;;31;36
08G06;Karl-Weise-Schule;6;5;1;36;24;12;10;9;1;10;;36;10;;20;16
08G07;Hermann-Boddin-Schule;8;6;2;45;36;9;7;6;1;7;;51;13;;33;19
08G08;Karlsgarten-Schule;23;22;1;37;14;23;24;23;1;24;;32;17;;14;18
08G09;Regenbogen-Schule;19;19;;16;8;8;33;31;2;24;9;28;9;;19;9
08K13;Campus Efeuweg;9;9;;73;63;10;4;4;;4;;63;2;;54;9
08G11;Schliemann-Schule;23;23;;22;12;10;25;25;;25;;31;3;;16;15
08G12;Peter-Petersen-Schule;91;89;2;;;;111;108;3;48;63;;;;;
08G13;Bruno-Taut-Schule;21;19;2;100;84;16;21;20;1;21;;126;21;;94;32
08G14;Konrad-Agahd-Schule;25;25;;40;33;7;24;24;;0;24;39;2;;23;16
08G15;Hermann-Sander-Schule;16;13;3;36;30;6;20;12;8;20;;58;10;;30;28
08G16;Hugo-Heimann-Schule;14;14;;51;43;8;15;15;;15;;48;2;;40;8
08G17;Richard-Schule;29;29;;46;35;11;52;50;2;52;;49;7;;28;21
08G18;Eduard-Mörike-Schule;7;5;2;61;41;20;13;13;;13;;88;26;;48;40
08G19;Herman-Nohl-Schule;51;45;6;25;11;14;14;14;;14;;37;5;;21;16
08G20;Sonnen-Schule;8;8;;49;30;19;2;2;;2;;36;17;;25;11
08G21;Silberstein-Schule;11;10;1;59;53;6;15;13;2;15;;64;9;;31;33
08G22;Schule am Regenweiher;32;31;1;27;23;4;34;32;2;34;;28;2;;17;11
08G23;Zürich-Schule;42;40;2;32;21;11;22;21;1;;22;28;7;;20;8
08G24;Schule am Teltowkanal;9;9;;42;38;5;14;14;;14;;34;3;;21;13
08G25;Michael-Ende-Schule;35;33;2;3;2;1;43;39;4;43;;4;2;;2;2
08G26;Christoph-Ruden-Schule;12;12;;51;40;11;7;7;;7;;55;8;;40;15
08G27;Oskar-Heinroth-Schule;46;38;8;39;22;17;35;26;9;35;;38;7;;32;6
08G28;Matthias-Claudius-Schule;35;34;1;25;20;5;49;46;3;37;12;28;1;;24;4
08G29;Wetzlar-Schule;48;47;1;17;13;4;53;52;1;34;19;18;6;;15;3
