School_ID;Name;Places_19_20;Reg_19_20;Reg_ESB_19_20;Aufnahme_19_20;Ablehnung_19_20;Places_20_21;Reg_20_21;Reg_ESB_20_21;Aufnahme_20_21;Ablehnung_20_21
12G06;Hausotter-Grundschule;100;111;96;96;;125;137;134;84;
12G07;Mark-Twain-Grundschule;75;102;83;83;;75;138;117;76;
12G09;Grundschule an der Peckwisch;100;125;92;92;;100;157;134;84;
12G10;Peter-Witte-Grundschule;52;94;38;38;;75;100;50;39;
12G11;Ringelnatz-Grundschule;50;59;40;40;;50;114;97;54;
12G12;Borsigwalder-Grundschule;78;82;55;55;;78;110;73;57;
12G13;Franz-Marc-Grundschule;69;54;33;33;;72;87;56;39;
12G14;Alfred-Brehm-Grundschule;78;87;66;66;;78;102;80;60;
12G15;Hoffmann-von-Fallersleben-Grundschule;78;68;44;44;;78;114;80;53;
12G17;Ellef-Ringnes-Grundschule;52;99;97;53;49;78;92;87;78;13
12G18;Grundschule am Tegelschen Ort;52;59;47;47;;52;82;74;64;
12G19;Münchhausen-Grundschule;78;65;36;36;;78;120;79;46;
12G20;Grundschule am Vierrutenberg;55;68;61;61;;66;84;46;49;
12G21;Grundschule am Fließtal;78;80;55;55;;78;135;92;46;
12G22;Gustav-Dreyer-Grundschule;78;95;63;63;;78;102;71;49;
12G23;Victor-Gollancz-Grundschule;69;77;49;49;;78;102;82;47;
12G24;Renée-Sintenis-Grundschule;78;75;58;58;;78;122;106;76;
12G26;Märkische-Grundschule;100;110;24;23;;100;108;25;22;3
12G27;Chamisso-Grundschule;100;85;86;86;;100;144;126;87;
12G28;Grundschule in den Rollbergen;70;51;42;42;;65;112;109;57;
12G29;Hermann-Schulz-Grundschule;75;54;38;38;;75;102;94;72;
12G30;Reineke-Fuchs-Grundschule;88;66;72;72;;106;128;126;83;
12K12;Campus Hannah-Höch;70;56;;;;70;89;;40;20
12G32;Charlie-Chaplin-Grundschule;75;80;83;83;;75;160;;148;63
12G33;Lauterbach-Grundschule;100;94;65;65;;100;176;;154;76
12G34;Otfried-Preußler-Grundschule;104;72;95;95;;104;97;;93;45
