School_ID;Name;Places_19_20;Reg_19_20;Reg_ESB_19_20;Aufnahme_19_20;Ablehnung_19_20;Places_20_21;Reg_20_21;Reg_ESB_20_21;Aufnahme_20_21;Ablehnung_20_21
05G11;Robert-Reinick-Grundschule;100;132;120;101;;100;143;128;105;
05G12;Grundschule am Weinmeisterhorn;78;36;35;25;;78;60;33;21;
05G13;Bernd-Ryke-Grundschule;100;103;99;80;;104;136;114;87;
05G14;Linden-Grundschule;104;97;98;78;;104;114;76;59;
05G15;Askanier-Grundschule;75;88;76;53;;78;101;87;53;
05G16;Zeppelin-Grundschule;48;37;37;32;;50;55;40;25;
05G17;Astrid-Lindgren-Grundschule;100;107;101;68;;75;117;105;45;
05G18;Grundschule im Beerwinkel;100;131;123;95;;100;139;134;97;
05G19;Grundschule am Ritterfeld;104;97;106;80;;104;119;96;58;
05G20;Carl-Schurz-Grundschule;100;133;132;86;;100;170;164;64;
05G21;Paul-Moor-Grundschule;42;52;;;;42;70;29;11;
05G22;Christian-Morgenstern-Grundschule;100;123;114;62;;100;142;130;56;
05G23;Grundschule am Brandwerder;52;71;70;50;;78;83;72;45;
05G24;Grundschule am Windmühlenberg;52;30;32;27;;52;63;35;24;
05G25;Grundschule am Wasserwerk;25;28;28;19;;25;41;37;21;
05G26;Grundschule am Amalienhof;100;92;88;51;;75;119;101;63;
05G27;Peter-Härtling-Grundschule;75;84;77;56;;100;104;74;55;
05G28;Grundschule an der Pulvermühle;75;64;61;47;;100;59;44;28;
05G29;Mary-Poppins-Grundschule;104;85;80;62;;104;122;94;75;
05G30;Birken-Grundschule;66;80;79;61;;88;104;90;61;
05K05;B.-Traven-GemS;25;13;;;;50;54;32;14;
06G01;Nord-Grundschule;78;69;42;42;;75;50;35;35;
06G02;Süd-Grundschule;52;25;41;41;;72;57;46;46;
06G03;Johannes-Tews-Grundschule;78;94;69;69;;100;93;70;70;
06G04;Erich-Kästner-Grundschule;78;114;54;54;;78;107;70;70;
06G05;Conrad-Grundschule;84;85;80;80;;77;73;64;64;
06G06;Mühlenau-Grundschule;104;108;45;45;;100;92;49;49;
06G07;Zinnowwald-Grundschule;94;73;69;69;;90;79;68;68;
06G08;Schweizerhof-Grundschule;75;110;67;67;;72;78;50;50;
06G09;Dreilinden-Grundschule;50;43;37;37;;52;40;30;30;
06G10;Grundschule am Buschgraben;48;34;37;37;;50;41;25;25;
06K11;Anna-Essinger-Gemeinschaftsschule;63;113;0;63;50;72;120;28;28;
06G12;Quentin-Blake-Grundschule (Regelzug);26;14;4;4;;26;12;5;5;
06G12;"Quentin-Blake-Grundschule - Staatliche Europa-Schule Berlin (SESB)""";52;108;;;;52;85;;;
06G14;Sachsenwald-Grundschule;75;86;77;77;;78;96;70;70;
06G15;Dunant-Grundschule;100;81;74;74;;125;112;99;99;
06G16;Rothenburg-Grundschule;39;49;22;22;;45;67;40;40;
06G17;Grundschule am Insulaner;75;87;55;55;;75;77;61;61;
06G18;Athene-Grundschule (Regelzug);50;36;31;31;;46;45;34;34;
06G18;Athene-Grundschule - (SESB);36;30;;;;36;36;;;
