,SchulNr,Unnamed: 1,Name,Unnamed: 3,Schulart,Unnamed: 5,Bezirk,Unnamed: 7,Ortsteil,Unnamed: 9,Unnamed: 10,url
188,01P47,,Ecole Voltaire (Grundschule),,Grundschule,,Mitte,,Tiergarten,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22540
189,04E53,,Bernsteiner & Urbschat Gestalterei Berlin GmbH,,Sonstige Ergänzungsschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22565
190,03G02,,Heinrich-Roller-Grundschule,,Grundschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21598
191,12Y02,,Europäisches Gymnasium Bertha-von-Suttner,,Gymnasium,,Reinickendorf,,Reinickendorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22156
192,03P38,,S.K.O.U.T. - Fachschule für Sozialpädagogik,,Fachschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22603
193,03Y03,,Käthe-Kollwitz-Gymnasium,,Gymnasium,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21883
194,03E21,,cimdata Bildungsakademie GmbH,,Sonstige Ergänzungsschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22592
195,03G04,,Grundschule an der Marie,,Grundschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21794
196,01P14,,BEST-Sabel Berufsakademie,,Kombinierte berufliche Schule,,Mitte,,Mitte,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22397
197,01P14,,BEST-Sabel Berufsakademie,,Kombinierte berufliche Schule,,Mitte,,Mitte,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22398
198,01P14,,BEST-Sabel Berufsakademie,,Kombinierte berufliche Schule,,Mitte,,Mitte,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22399
199,01P23,,Evangelische Schule Berlin Zentrum (Gemeinschaftsschule),,Gemeinschaftsschule,,Mitte,,Mitte,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21678
200,01P11,,Plan B Berufsfachschule für Altenpflege des Europäischen Bildungswerks für Beruf und Gesellschaft gGmbH,,Berufsfachschule,,Mitte,,Mitte,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21729
201,03Y04,,Heinrich-Schliemann-Gymnasium,,Gymnasium,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21884
202,07E21,,GFS Steuer- und Wirtschaftsfachschule GmbH,,Wirtschafts- und Verwaltungsschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21381
203,02P07,,Campus Berufsbildung e.V.,,Kombinierte berufliche Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21710
204,02P07,,Campus Berufsbildung e.V.,,Kombinierte berufliche Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21711
205,02P07,,Campus Berufsbildung e.V.,,Kombinierte berufliche Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21712
206,02P07,,Campus Berufsbildung e.V.,,Kombinierte berufliche Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21713
207,07E02,,Vital Kosmetikakademie GmbH,,Kosmetikschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22392
208,04E03,,D.U.T. Wirtschaftsfachschule GmbH & Co,,Wirtschafts- und Verwaltungsschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22191
209,03G25,,Carl-Humann-Grundschule,,Grundschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21624
210,04P05,,Evangelische Schule Charlottenburg (Integrierte Sekundarschule),,Integrierte Sekundarschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21996
211,07A05,,Kolleg Schöneberg,,Volkshochschul-Kolleg,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21547
212,03Y08,,Carl-von-Ossietzky-Gymnasium,,Gymnasium,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21989
213,02E33,,gebaerdenservice.de,,Sonstige Ergänzungsschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21271
214,03K09,,Janusz-Korczak-Schule (Integrierte Sekundarschule),,Integrierte Sekundarschule,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21981
215,02G32,,Clara-Grunwald-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22391
216,02E20,,Mediadesign Hochschule für Design und Informatik GmbH,,Künstlerische Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22348
217,03P08,,Katholisches Schulzentrum Edith Stein,,Kombinierte berufliche Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22400
218,03P08,,Katholisches Schulzentrum Edith Stein,,Kombinierte berufliche Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22401
219,03P08,,Katholisches Schulzentrum Edith Stein,,Kombinierte berufliche Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22402
220,03P08,,Katholisches Schulzentrum Edith Stein,,Kombinierte berufliche Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22403
221,04G07,,Ludwig-Cauer-Grundschule,,Grundschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21576
222,02P11,,Berlin Bilingual School (Grundschule),,Grundschule,,Friedrichshain-Kreuzberg,,Friedrichshain,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22431
